n|rsc|name|format|dateCr|dateMo|id|size
367|daycares-br7|GeoXML-ITM|XML|2021-04-25|2023-03-06|0c11bd4e-64ed-4237-b963-c01e03502bae|69734
367|daycares-br7|KML-ITM|KML|2021-04-25|2023-03-06|dbb0af36-b7d1-47fc-887a-91bce78b443c|48495
367|daycares-br7|XLSX-ITM|XLSX|2021-04-26|2023-03-06|03207c70-2fb1-4b79-996a-b7b1659c6dfa|12162
367|daycares-br7|JSON-ITM|JSON|2021-04-26|2023-03-06|e81257e1-bf8c-4bcf-aabf-c279e1c242e3|19119
367|daycares-br7|XML-ITM|XML|2021-04-26|2023-03-06|5efcd641-a901-4289-87ff-6d3f5a400043|33943
368|decision260|נתוני פעילויות החלטה 260 יוני 2022|CSV|2021-01-20|2022-06-26|51958669-a387-4888-a026-a176b2fe4833|19786
369|defi|CSV|CSV|2021-12-22|2023-03-05|3f60d2fa-ca4c-49b7-84b2-34ddf1cf9206|3932564
369|defi|GeoJSON|GeoJSON|2021-12-22|2023-03-05|59b568e0-7d0d-4163-8570-5b1096de4edb|10327593
370|degem-rechev-wltp|תוצרים ודגמים של כלי רכב WLTP|CSV|2019-06-25|2023-03-24|142afde2-6228-49f9-8a29-9b6c3a0cbe40|40892948
370|degem-rechev-wltp|מאגר כמויות כלי רכב לפי תוצר, דגם ושנת יצור|CSV|2019-10-23|2023-03-24|5e87a7a1-2f6f-41c1-8aec-7216d52a6cf6|6901303
372|demographics-br7|לפי סטטוס|CSV|2021-01-21|2023-03-06|b6ee8e0f-b16e-4b66-b258-7714bd40440f|2431
372|demographics-br7|לפי עולים וותיקים|CSV|2021-01-21|2023-03-06|31f17dc1-42ca-40cb-b4c1-f2d8fa28f222|2367
372|demographics-br7|לפי קבוצות גיל|CSV|2021-01-21|2023-03-06|feecb5bb-8554-491f-80d9-dae316837f80|4140
372|demographics-br7|לפי סטטוס - XLSX|XLSX|2021-01-24|2023-03-06|e85b0b1b-f3e0-400f-a19b-f14bbeb3bc90|7842
372|demographics-br7|לפי סטטוס - JSON|JSON|2021-01-24|2023-03-06|6ab6aab6-97df-4d11-ba5f-2e342f446960|20482
372|demographics-br7|לפי סטטוס - XML|XML|2021-01-24|2023-03-06|ed7e93a4-4521-4975-b1ab-cc2a8576e9a4|36943
372|demographics-br7|לפי עולים וותיקים - XLSX|XLSX|2021-01-24|2023-03-06|405b34a5-a392-472d-b19f-16f1c9664f5b|7976
372|demographics-br7|לפי עולים וותיקים - JSON|JSON|2021-01-24|2023-03-06|47191b4e-2344-4ccb-9332-ad53bf5253af|16764
